degree distribution (probability density function of the degree in logarithmic bins) 
7.43704	0.177527
9.37576	0.0891246
11.4505	0.0492549
13.9151	0.0386407
16.9878	0.0245565
20.443	0.0194353
24.9333	0.0121263
30.4783	0.00763745
37	0.00559225
45.65	0.00448204

degree distribution (degree-occurrences) 
7	0.152
8	0.118
9	0.103
10	0.062
11	0.061
12	0.05
13	0.044
14	0.027
15	0.035
16	0.028
17	0.027
18	0.027
19	0.019
20	0.016
21	0.034
22	0.01
23	0.01
24	0.018
25	0.01
26	0.01
27	0.012
28	0.008
29	0.008
30	0.006
31	0.01
32	0.006
33	0.008
34	0.007
35	0.006
36	0.004
37	0.005
38	0.007
39	0.007
40	0.004
41	0.001
42	0.002
43	0.01
44	0.005
45	0.002
46	0.007
47	0.002
48	0.006
49	0.002
50	0.004


--------------------------------------
community distribution (size-occurrences)
20	0.0909091
21	0.0606061
22	0.0606061
23	0.0606061
24	0.0606061
25	0.030303
26	0.0909091
27	0.030303
28	0.030303
29	0.030303
30	0.030303
31	0.0606061
34	0.0606061
35	0.030303
37	0.0606061
38	0.030303
39	0.030303
43	0.0606061
46	0.0606061
49	0.030303


--------------------------------------
mixing parameter
0	0.08
0.0344828	0.001
0.0570507	0.014
0.0675973	0.049
0.0816611	0.108
0.0924762	0.12
0.106336	0.274
0.117549	0.042
0.126522	0.136
0.142897	0.134
0.153846	0.016
0.166667	0.013
0.181818	0.009
0.2	0.001
0.222222	0.001
0.25	0.002

--------------------------------------
